date,USDAUD,isPartial
2012-12-30,46,False
2013-01-06,21,False
2013-01-13,0,False
2013-01-20,21,False
2013-01-27,60,False
2013-02-03,20,False
2013-02-10,0,False
2013-02-17,20,False
2013-02-24,30,False
2013-03-03,60,False
2013-03-10,0,False
2013-03-17,29,False
2013-03-24,20,False
2013-03-31,20,False
2013-04-07,39,False
2013-04-14,50,False
2013-04-21,20,False
2013-04-28,0,False
2013-05-05,0,False
2013-05-12,78,False
2013-05-19,59,False
2013-05-26,69,False
2013-06-02,78,False
2013-06-09,29,False
2013-06-16,20,False
2013-06-23,30,False
2013-06-30,50,False
2013-07-07,61,False
2013-07-14,41,False
2013-07-21,40,False
2013-07-28,100,False
2013-08-04,51,False
2013-08-11,61,False
2013-08-18,50,False
2013-08-25,38,False
2013-09-01,19,False
2013-09-08,84,False
2013-09-15,47,False
2013-09-22,19,False
2013-09-29,28,False
2013-10-06,56,False
2013-10-13,0,False
2013-10-20,37,False
2013-10-27,19,False
2013-11-03,27,False
2013-11-10,0,False
2013-11-17,36,False
2013-11-24,18,False
2013-12-01,27,False
2013-12-08,36,False
2013-12-15,0,False
2013-12-22,21,False
2013-12-29,39,False
2014-01-05,53,False
2014-01-12,26,False
2014-01-19,34,False
2014-01-26,0,False
2014-02-02,18,False
2014-02-09,17,False
2014-02-16,34,False
2014-02-23,43,False
2014-03-02,26,False
2014-03-09,17,False
2014-03-16,17,False
2014-03-23,17,False
2014-03-30,0,False
2014-04-06,51,False
2014-04-13,36,False
2014-04-20,18,False
2014-04-27,52,False
2014-05-04,34,False
2014-05-11,17,False
2014-05-18,36,False
2014-05-25,38,False
2014-06-01,19,False
2014-06-08,0,False
2014-06-15,19,False
2014-06-22,38,False
2014-06-29,29,False
2014-07-06,39,False
2014-07-13,19,False
2014-07-20,19,False
2014-07-27,20,False
2014-08-03,20,False
2014-08-10,39,False
2014-08-17,19,False
2014-08-24,0,False
2014-08-31,37,False
2014-09-07,0,False
2014-09-14,18,False
2014-09-21,0,False
2014-09-28,46,False
2014-10-05,18,False
2014-10-12,35,False
2014-10-19,35,False
2014-10-26,18,False
2014-11-02,26,False
2014-11-09,26,False
2014-11-16,18,False
2014-11-23,17,False
2014-11-30,51,False
2014-12-07,26,False
2014-12-14,71,False
2014-12-21,29,False
2014-12-28,28,False
2015-01-04,51,False
2015-01-11,33,False
2015-01-18,41,False
2015-01-25,24,False
2015-02-01,74,False
2015-02-08,33,False
2015-02-15,50,False
2015-02-22,32,False
2015-03-01,32,False
2015-03-08,48,False
2015-03-15,65,False
2015-03-22,35,False
2015-03-29,17,False
2015-04-05,49,False
2015-04-12,65,False
2015-04-19,41,False
2015-04-26,57,False
2015-05-03,41,False
2015-05-10,25,False
2015-05-17,56,False
2015-05-24,24,False
2015-05-31,33,False
2015-06-07,49,False
2015-06-14,33,False
2015-06-21,33,False
2015-06-28,25,False
2015-07-05,49,False
2015-07-12,16,False
2015-07-19,67,False
2015-07-26,16,False
2015-08-02,99,False
2015-08-09,66,False
2015-08-16,40,False
2015-08-23,55,False
2015-08-30,47,False
2015-09-06,71,False
2015-09-13,46,False
2015-09-20,23,False
2015-09-27,61,False
2015-10-04,15,False
2015-10-11,15,False
2015-10-18,22,False
2015-10-25,53,False
2015-11-01,30,False
2015-11-08,38,False
2015-11-15,23,False
2015-11-22,38,False
2015-11-29,22,False
2015-12-06,45,False
2015-12-13,54,False
2015-12-20,17,False
2015-12-27,51,False
2016-01-03,64,False
2016-01-10,31,False
2016-01-17,16,False
2016-01-24,31,False
2016-01-31,47,False
2016-02-07,0,False
2016-02-14,70,False
2016-02-21,39,False
2016-02-28,46,False
2016-03-06,31,False
2016-03-13,62,False
2016-03-20,56,False
2016-03-27,39,False
2016-04-03,39,False
2016-04-10,47,False
2016-04-17,16,False
2016-04-24,47,False
2016-05-01,64,False
2016-05-08,47,False
2016-05-15,32,False
2016-05-22,32,False
2016-05-29,16,False
2016-06-05,32,False
2016-06-12,16,False
2016-06-19,24,False
2016-06-26,57,False
2016-07-03,17,False
2016-07-10,17,False
2016-07-17,51,False
2016-07-24,17,False
2016-07-31,26,False
2016-08-07,35,False
2016-08-14,36,False
2016-08-21,43,False
2016-08-28,0,False
2016-09-04,17,False
2016-09-11,49,False
2016-09-18,16,False
2016-09-25,16,False
2016-10-02,32,False
2016-10-09,63,False
2016-10-16,55,False
2016-10-23,16,False
2016-10-30,16,False
2016-11-06,46,False
2016-11-13,31,False
2016-11-20,15,False
2016-11-27,45,False
2016-12-04,22,False
2016-12-11,61,False
2016-12-18,16,False
2016-12-25,33,False
2017-01-01,23,False
2017-01-08,15,False
2017-01-15,15,False
2017-01-22,29,False
2017-01-29,36,False
2017-02-05,14,False
2017-02-12,29,False
2017-02-19,22,False
2017-02-26,42,False
2017-03-05,28,False
2017-03-12,35,False
2017-03-19,29,False
2017-03-26,44,False
2017-04-02,36,False
2017-04-09,52,False
2017-04-16,37,False
2017-04-23,22,False
2017-04-30,15,False
2017-05-07,44,False
2017-05-14,39,False
2017-05-21,47,False
2017-05-28,39,False
2017-06-04,15,False
2017-06-11,15,False
2017-06-18,23,False
2017-06-25,24,False
2017-07-02,24,False
2017-07-09,31,False
2017-07-16,39,False
2017-07-23,46,False
2017-07-30,45,False
2017-08-06,37,False
2017-08-13,31,False
2017-08-20,30,False
2017-08-27,30,False
2017-09-03,82,False
2017-09-10,30,False
2017-09-17,37,False
2017-09-24,22,False
2017-10-01,15,False
2017-10-08,44,False
2017-10-15,58,False
2017-10-22,22,False
2017-10-29,22,False
2017-11-05,57,False
2017-11-12,14,False
2017-11-19,29,False
2017-11-26,14,False
2017-12-03,50,False
2017-12-10,72,False
2017-12-17,81,True
