date,CHFJPY,isPartial
2012-12-30,43,False
2013-01-06,19,False
2013-01-13,38,False
2013-01-20,19,False
2013-01-27,0,False
2013-02-03,19,False
2013-02-10,19,False
2013-02-17,0,False
2013-02-24,18,False
2013-03-03,19,False
2013-03-10,18,False
2013-03-17,18,False
2013-03-24,0,False
2013-03-31,0,False
2013-04-07,27,False
2013-04-14,0,False
2013-04-21,19,False
2013-04-28,0,False
2013-05-05,0,False
2013-05-12,27,False
2013-05-19,18,False
2013-05-26,0,False
2013-06-02,18,False
2013-06-09,36,False
2013-06-16,37,False
2013-06-23,0,False
2013-06-30,38,False
2013-07-07,19,False
2013-07-14,19,False
2013-07-21,19,False
2013-07-28,19,False
2013-08-04,38,False
2013-08-11,19,False
2013-08-18,37,False
2013-08-25,18,False
2013-09-01,18,False
2013-09-08,17,False
2013-09-15,35,False
2013-09-22,35,False
2013-09-29,26,False
2013-10-06,17,False
2013-10-13,35,False
2013-10-20,17,False
2013-10-27,17,False
2013-11-03,34,False
2013-11-10,17,False
2013-11-17,59,False
2013-11-24,33,False
2013-12-01,33,False
2013-12-08,0,False
2013-12-15,17,False
2013-12-22,76,False
2013-12-29,18,False
2014-01-05,25,False
2014-01-12,16,False
2014-01-19,16,False
2014-01-26,16,False
2014-02-02,17,False
2014-02-09,16,False
2014-02-16,16,False
2014-02-23,0,False
2014-03-02,0,False
2014-03-09,16,False
2014-03-16,16,False
2014-03-23,0,False
2014-03-30,16,False
2014-04-06,16,False
2014-04-13,0,False
2014-04-20,0,False
2014-04-27,0,False
2014-05-04,16,False
2014-05-11,32,False
2014-05-18,0,False
2014-05-25,36,False
2014-06-01,18,False
2014-06-08,18,False
2014-06-15,0,False
2014-06-22,0,False
2014-06-29,18,False
2014-07-06,0,False
2014-07-13,18,False
2014-07-20,18,False
2014-07-27,0,False
2014-08-03,0,False
2014-08-10,18,False
2014-08-17,18,False
2014-08-24,0,False
2014-08-31,17,False
2014-09-07,17,False
2014-09-14,17,False
2014-09-21,17,False
2014-09-28,17,False
2014-10-05,17,False
2014-10-12,17,False
2014-10-19,0,False
2014-10-26,33,False
2014-11-02,0,False
2014-11-09,24,False
2014-11-16,33,False
2014-11-23,0,False
2014-11-30,32,False
2014-12-07,24,False
2014-12-14,16,False
2014-12-21,0,False
2014-12-28,0,False
2015-01-04,16,False
2015-01-11,100,False
2015-01-18,46,False
2015-01-25,0,False
2015-02-01,31,False
2015-02-08,0,False
2015-02-15,16,False
2015-02-22,0,False
2015-03-01,15,False
2015-03-08,15,False
2015-03-15,15,False
2015-03-22,16,False
2015-03-29,0,False
2015-04-05,31,False
2015-04-12,15,False
2015-04-19,15,False
2015-04-26,0,False
2015-05-03,0,False
2015-05-10,30,False
2015-05-17,15,False
2015-05-24,15,False
2015-05-31,0,False
2015-06-07,0,False
2015-06-14,15,False
2015-06-21,0,False
2015-06-28,0,False
2015-07-05,15,False
2015-07-12,0,False
2015-07-19,15,False
2015-07-26,15,False
2015-08-02,31,False
2015-08-09,31,False
2015-08-16,15,False
2015-08-23,0,False
2015-08-30,0,False
2015-09-06,30,False
2015-09-13,0,False
2015-09-20,0,False
2015-09-27,0,False
2015-10-04,14,False
2015-10-11,14,False
2015-10-18,0,False
2015-10-25,21,False
2015-11-01,14,False
2015-11-08,14,False
2015-11-15,0,False
2015-11-22,14,False
2015-11-29,27,False
2015-12-06,28,False
2015-12-13,14,False
2015-12-20,32,False
2015-12-27,0,False
2016-01-03,22,False
2016-01-10,15,False
2016-01-17,15,False
2016-01-24,15,False
2016-01-31,0,False
2016-02-07,15,False
2016-02-14,22,False
2016-02-21,14,False
2016-02-28,14,False
2016-03-06,14,False
2016-03-13,15,False
2016-03-20,15,False
2016-03-27,22,False
2016-04-03,15,False
2016-04-10,15,False
2016-04-17,29,False
2016-04-24,14,False
2016-05-01,0,False
2016-05-08,29,False
2016-05-15,15,False
2016-05-22,15,False
2016-05-29,30,False
2016-06-05,15,False
2016-06-12,15,False
2016-06-19,15,False
2016-06-26,30,False
2016-07-03,24,False
2016-07-10,16,False
2016-07-17,16,False
2016-07-24,24,False
2016-07-31,32,False
2016-08-07,16,False
2016-08-14,34,False
2016-08-21,24,False
2016-08-28,15,False
2016-09-04,0,False
2016-09-11,0,False
2016-09-18,0,False
2016-09-25,15,False
2016-10-02,15,False
2016-10-09,15,False
2016-10-16,30,False
2016-10-23,59,False
2016-10-30,15,False
2016-11-06,14,False
2016-11-13,15,False
2016-11-20,14,False
2016-11-27,0,False
2016-12-04,14,False
2016-12-11,0,False
2016-12-18,15,False
2016-12-25,23,False
2017-01-01,15,False
2017-01-08,14,False
2017-01-15,14,False
2017-01-22,14,False
2017-01-29,14,False
2017-02-05,0,False
2017-02-12,13,False
2017-02-19,14,False
2017-02-26,20,False
2017-03-05,0,False
2017-03-12,39,False
2017-03-19,0,False
2017-03-26,14,False
2017-04-02,0,False
2017-04-09,21,False
2017-04-16,14,False
2017-04-23,0,False
2017-04-30,0,False
2017-05-07,14,False
2017-05-14,22,False
2017-05-21,14,False
2017-05-28,22,False
2017-06-04,14,False
2017-06-11,0,False
2017-06-18,14,False
2017-06-25,15,False
2017-07-02,15,False
2017-07-09,0,False
2017-07-16,0,False
2017-07-23,14,False
2017-07-30,28,False
2017-08-06,14,False
2017-08-13,14,False
2017-08-20,28,False
2017-08-27,42,False
2017-09-03,0,False
2017-09-10,41,False
2017-09-17,28,False
2017-09-24,34,False
2017-10-01,21,False
2017-10-08,14,False
2017-10-15,55,False
2017-10-22,14,False
2017-10-29,41,False
2017-11-05,20,False
2017-11-12,26,False
2017-11-19,13,False
2017-11-26,0,False
2017-12-03,0,False
2017-12-10,0,False
2017-12-17,0,True
