date,USDMXN,isPartial
2013-01-06,2,False
2013-01-13,2,False
2013-01-20,3,False
2013-01-27,3,False
2013-02-03,2,False
2013-02-10,2,False
2013-02-17,1,False
2013-02-24,3,False
2013-03-03,2,False
2013-03-10,1,False
2013-03-17,1,False
2013-03-24,2,False
2013-03-31,3,False
2013-04-07,2,False
2013-04-14,2,False
2013-04-21,3,False
2013-04-28,3,False
2013-05-05,4,False
2013-05-12,4,False
2013-05-19,2,False
2013-05-26,4,False
2013-06-02,3,False
2013-06-09,2,False
2013-06-16,4,False
2013-06-23,4,False
2013-06-30,3,False
2013-07-07,3,False
2013-07-14,2,False
2013-07-21,3,False
2013-07-28,1,False
2013-08-04,2,False
2013-08-11,5,False
2013-08-18,5,False
2013-08-25,4,False
2013-09-01,3,False
2013-09-08,4,False
2013-09-15,4,False
2013-09-22,2,False
2013-09-29,3,False
2013-10-06,3,False
2013-10-13,3,False
2013-10-20,3,False
2013-10-27,2,False
2013-11-03,5,False
2013-11-10,4,False
2013-11-17,3,False
2013-11-24,1,False
2013-12-01,2,False
2013-12-08,2,False
2013-12-15,2,False
2013-12-22,3,False
2013-12-29,2,False
2014-01-05,2,False
2014-01-12,3,False
2014-01-19,4,False
2014-01-26,4,False
2014-02-02,4,False
2014-02-09,3,False
2014-02-16,3,False
2014-02-23,2,False
2014-03-02,2,False
2014-03-09,1,False
2014-03-16,3,False
2014-03-23,1,False
2014-03-30,2,False
2014-04-06,2,False
2014-04-13,1,False
2014-04-20,2,False
2014-04-27,1,False
2014-05-04,4,False
2014-05-11,1,False
2014-05-18,1,False
2014-05-25,2,False
2014-06-01,3,False
2014-06-08,2,False
2014-06-15,2,False
2014-06-22,1,False
2014-06-29,3,False
2014-07-06,3,False
2014-07-13,1,False
2014-07-20,1,False
2014-07-27,2,False
2014-08-03,1,False
2014-08-10,3,False
2014-08-17,2,False
2014-08-24,2,False
2014-08-31,2,False
2014-09-07,2,False
2014-09-14,2,False
2014-09-21,3,False
2014-09-28,2,False
2014-10-05,3,False
2014-10-12,3,False
2014-10-19,3,False
2014-10-26,3,False
2014-11-02,3,False
2014-11-09,3,False
2014-11-16,2,False
2014-11-23,2,False
2014-11-30,4,False
2014-12-07,7,False
2014-12-14,5,False
2014-12-21,3,False
2014-12-28,2,False
2015-01-04,5,False
2015-01-11,5,False
2015-01-18,4,False
2015-01-25,5,False
2015-02-01,4,False
2015-02-08,5,False
2015-02-15,3,False
2015-02-22,4,False
2015-03-01,3,False
2015-03-08,6,False
2015-03-15,3,False
2015-03-22,3,False
2015-03-29,3,False
2015-04-05,4,False
2015-04-12,3,False
2015-04-19,5,False
2015-04-26,3,False
2015-05-03,3,False
2015-05-10,3,False
2015-05-17,2,False
2015-05-24,3,False
2015-05-31,4,False
2015-06-07,3,False
2015-06-14,4,False
2015-06-21,2,False
2015-06-28,5,False
2015-07-05,5,False
2015-07-12,4,False
2015-07-19,7,False
2015-07-26,5,False
2015-08-02,6,False
2015-08-09,5,False
2015-08-16,9,False
2015-08-23,10,False
2015-08-30,9,False
2015-09-06,4,False
2015-09-13,5,False
2015-09-20,7,False
2015-09-27,7,False
2015-10-04,4,False
2015-10-11,4,False
2015-10-18,4,False
2015-10-25,4,False
2015-11-01,5,False
2015-11-08,4,False
2015-11-15,5,False
2015-11-22,3,False
2015-11-29,3,False
2015-12-06,6,False
2015-12-13,8,False
2015-12-20,4,False
2015-12-27,4,False
2016-01-03,7,False
2016-01-10,10,False
2016-01-17,12,False
2016-01-24,7,False
2016-01-31,5,False
2016-02-07,8,False
2016-02-14,10,False
2016-02-21,8,False
2016-02-28,7,False
2016-03-06,6,False
2016-03-13,6,False
2016-03-20,5,False
2016-03-27,6,False
2016-04-03,6,False
2016-04-10,7,False
2016-04-17,5,False
2016-04-24,5,False
2016-05-01,4,False
2016-05-08,6,False
2016-05-15,7,False
2016-05-22,7,False
2016-05-29,7,False
2016-06-05,9,False
2016-06-12,6,False
2016-06-19,14,False
2016-06-26,11,False
2016-07-03,8,False
2016-07-10,4,False
2016-07-17,5,False
2016-07-24,7,False
2016-07-31,5,False
2016-08-07,6,False
2016-08-14,7,False
2016-08-21,6,False
2016-08-28,7,False
2016-09-04,6,False
2016-09-11,13,False
2016-09-18,13,False
2016-09-25,19,False
2016-10-02,8,False
2016-10-09,17,False
2016-10-16,14,False
2016-10-23,11,False
2016-10-30,22,False
2016-11-06,100,False
2016-11-13,26,False
2016-11-20,12,False
2016-11-27,12,False
2016-12-04,11,False
2016-12-11,11,False
2016-12-18,9,False
2016-12-25,6,False
2017-01-01,21,False
2017-01-08,23,False
2017-01-15,21,False
2017-01-22,30,False
2017-01-29,18,False
2017-02-05,17,False
2017-02-12,14,False
2017-02-19,17,False
2017-02-26,14,False
2017-03-05,13,False
2017-03-12,14,False
2017-03-19,12,False
2017-03-26,12,False
2017-04-02,12,False
2017-04-09,9,False
2017-04-16,10,False
2017-04-23,17,False
2017-04-30,8,False
2017-05-07,11,False
2017-05-14,9,False
2017-05-21,11,False
2017-05-28,9,False
2017-06-04,12,False
2017-06-11,13,False
2017-06-18,11,False
2017-06-25,12,False
2017-07-02,8,False
2017-07-09,10,False
2017-07-16,10,False
2017-07-23,11,False
2017-07-30,7,False
2017-08-06,9,False
2017-08-13,8,False
2017-08-20,10,False
2017-08-27,7,False
2017-09-03,6,False
2017-09-10,6,False
2017-09-17,8,False
2017-09-24,9,False
2017-10-01,8,False
2017-10-08,12,False
2017-10-15,15,False
2017-10-22,12,False
2017-10-29,12,False
2017-11-05,7,False
2017-11-12,8,False
2017-11-19,7,False
2017-11-26,12,False
2017-12-03,10,False
2017-12-10,11,False
2017-12-17,14,False
2017-12-24,17,False
2017-12-31,9,True
